day,2019,2020,2021,change (2019-2020),change (2020-2021)
05-19,6.0,6.333333333333333,9.375,0.33333333333333304,3.041666666666667
05-20,6.0,5.5,10.375,-0.5,4.875
05-21,20.208333333333332,5.875,11.791666666666666,-14.333333333333332,5.916666666666666
05-22,20.541666666666668,7.0,6.0,-13.541666666666668,-1.0
05-23,25.416666666666668,3.6666666666666665,5.541666666666667,-21.75,1.8750000000000004
05-24,21.875,2.875,6.208333333333333,-19.0,3.333333333333333
05-25,10.375,5.125,10.25,-5.25,5.125
05-26,6.5,5.375,10.583333333333334,-1.125,5.208333333333334
05-27,18.666666666666668,6.083333333333333,10.125,-12.583333333333336,4.041666666666667
05-28,23.541666666666668,6.833333333333333,12.333333333333334,-16.708333333333336,5.500000000000001
05-29,26.166666666666668,6.875,5.875,-19.291666666666668,-1.0
05-30,21.875,3.0833333333333335,4.875,-18.791666666666668,1.7916666666666665
05-31,20.166666666666668,2.5833333333333335,8.958333333333334,-17.583333333333336,6.375
